Parameter ID,Columns To Check,Operator,Keyword to Find,Columns To Check,Operator,Keyword to Find,Mcodes,Comments
PAR-01,Mounting Type,equals,Through Hole,,,,TH,"If Mounting Type is equals to ""Through Hole"" then it is TH"
PAR-02,Mounting Type,equals,"Surface Mount, Through Hole",,,,MANSMT,"If Mounting Type is equals to ""Surface Mount, Through Hole"" then it is MANSMT"
PAR-03,Product Description,include,End Launch Solder,,,,TH,"If Product Description include keyword ""End Launch Solder"" then it is TH"
PAR-04,Sub-Category,equals,Slide Switches,Mounting Type,equals,Surface Mount,IP,"If Sub-Category is equals to ""Slide Switches"" and Mounting Type is equals to ""Surface Mount"" then it is IP"
PAR-05,Sub-Category,equals,Tactile Switches,Mounting Type,equals,Surface Mount,IP,"If Sub-Category is equals to ""Tactile Switches"" and Mounting Type is equals to ""Surface Mount"" then it is IP"
PAR-06,Sub-Category,equals,Tactile Switches,Mounting Type,equals,"Surface Mount, Right Angle",IP,"If Sub-Category is equals to ""Tactile Switches"" and Mounting Type is equals to ""Surface Mount"" then it is IP"
PAR-07,Sub-Category,equals,Slide Switches,,,,TH,"If Sub-Category is equals to ""Slide Switches"" then it is TH"
PAR-08,Sub-Category,equals,Tactile Switches,,,,TH,"If Sub-Category is equals to ""Tactile Switches"" then it is TH"
PAR-09,Sub-Category,equals,"RFI and EMI - Contacts, Fingerstock and Gaskets",,,,Accs,"If Sub-Category is equals to ""RFI and EMI - Contacts, Fingerstock and Gaskets"" then it is Accs"
PAR-10,Sub-Category,equals,RF Shields,Product Description,include,Surface Mount,MANSMT,"If Sub-Category is equals to ""RF Shields"" and Product Description include keyword ""Surface Mount"" then it is MANSMT"
PAR-11,Sub-Category,equals,RF Shields,,,,MEC,"If Sub-Category is equals to ""RF Shields"" then it is MEC"
PAR-12,Sub-Category,equals,Ferrite Cores,,,,MEC,"If Sub-Category is equals to ""Ferrite Cores"" then it is MEC"
PAR-13,Product Description,include,Standoff,Features,equals,Surface Mount,MANSMT,"If Product Description include keyword ""Standoff"" and Features is equals to ""Surface Mount"" then it is MANSMT"
PAR-14,Product Description,include,Standoff,,,,MEC,"If Product Description include keyword ""Standoff"" then it is MEC"
PAR-15,Product Description,include,HEATSINK,Attachment Method,equals,Bolt On,MEC,"If Product Description include keyword ""HEATSINK"" and Attachment Method is equals to ""Bolt On"" then it is MEC"
PAR-16,Product Description,include,HEATSINK,,,,MANSMT,"If Product Description include keyword ""HEATSINK"" then it is MANSMT"
PAR-17,Product Description,include,DPAK TO-252,,,,MANSMT,"If Product Description include keyword ""DPAK TO-252"" then it is MANSMT"
PAR-18,Size / Dimension,in range,{{size table}},,,,{{respective Mcode}},If Size / Dimension is in range with size table then respective Mcode will be assigned
PAR-19,Diameter - Outside,in range,{{size table}},,,,{{respective Mcode}},If Size / Dimension is in range with size table then respective Mcode will be assigned
PAR-20,Package / Case,include,{{keyword array}},,,,{{respective Mcode}},If Package / Case include keyword from MachineCodes sheet then the respective Mcode is assigned
PAR-21,Product Description,include,{{keyword array}},,,,{{respective Mcode}},If Product Description include keyword from MachineCodes sheet then the respective Mcode is assigned
PAR-22,Product Description,include,Pin,Product Description,include,Crimp,CABLE,"If Product Description include keyword ""Pin"" and Product Description include ""Crimp"" then it is CABLE"
PAR-23,Category,equals,"Connectors, Interconnects",Mounting Type,equals,Surface Mount,MANSMT,"If Category is equals to ""Connectors, Interconnects"" and Mounting Type is equals to ""Surface Mount"" then it is MANSMT"
PAR-24,Product Description,include,Connector Header,Mounting Type,equals,Surface Mount,MANSMT,"If Product Description include keyword ""Connector Header"" and Mounting Type is equals to ""Surface Mount"" then it is MANSMT"
PAR-25,Category,equals,"Connectors, Interconnects",Product Description,include,Surface Mount,MANSMT,"If Category is equals to ""Connectors, Interconnects"" and Product Description include keyword ""Surface Mount"" then it is MANSMT"
PAR-26,Category,equals,"Connectors, Interconnects",Product Description,include,SMD,MANSMT,"If Category is equals to ""Connectors, Interconnects"" and Product Description include keyword ""SMD"" then it is MANSMT"
PAR-27,Product Description,include,Connector Header position,Product Description,not include,"SMT, SMD, SURFACE MOUNT",TH,"If Product Description include keyword ""Connector Header position"" and Product Description does not include ""SMT, SMD, SURFACE MOUNT"" then it is TH"
PAR-28,Category,equals,"Connectors, Interconnects",Product Description,not include,"SMT, SMD, SURFACE MOUNT",TH,"If Category is equals to ""Connectors, Interconnects"" and Product Description not include keyword ""SMT, SMD, SURFACE MOUNT"" then it is TH"
PAR-29,Category,equals,"Connectors, Interconnects",,,,TH,"If Category is equals to ""Connectors, Interconnects"" then it is TH"
PAR-30,Sub-Category,equals,Film Capacitors,Mounting Type,equals,Chassis Mount,TH,"If Sub-Category is equals to ""Film Capacitors"" and Mounting Type is equals to ""Chassis Mount"" then it is TH"
PAR-31,Sub-Category,equals,Film Capacitors,Mounting Type,equals,"Chassis Mount, Requires Holder/Bracket",TH,"If Sub-Category is equals to ""Film Capacitors"" and Mounting Type is equals to ""Chassis Mount, Requires Holder/Bracket"" then it is TH"
PAR-32,Sub-Category,equals,Film Capacitors,Mounting Type,equals,"Chassis, Stud Mount",TH,"If Sub-Category is equals to ""Film Capacitors"" and Mounting Type is equals to ""Chassis, Stud Mount"" then it is TH"
PAR-33,Sub-Category,equals,Film Capacitors,Mounting Type,equals,Requires Holder,TH,"If Sub-Category is equals to ""Film Capacitors"" and Mounting Type is equals to ""Requires Holder"" then it is TH"
PAR-34,Sub-Category,equals,Film Capacitors,Mounting Type,equals,Through Hole,TH,"If Sub-Category is equals to ""Film Capacitors"" and Mounting Type is equals to ""Through Hole"" then it is TH"
PAR-35,Mounting Type,equals,"PCB, Through Hole",,,,TH,"If Mounting Type is equals to ""PCB, Through Hole"" then it is TH"
PAR-36,Mounting Type,equals,"PCB, Surface Mount",,,,MANSMT,"If Mounting Type is equals to ""PCB, Surface Mount"" then it is MANSMT"
PAR-37,Product Description,include,Battery Insulator,,,,Accs,"If Product Description include keyword ""Battery Insulator"" then it is Accs"
PAR-38,Sub-Category,equals,Card Guides,,,,Accs,"If Sub-Category is equals to ""Card Guides"" then it is Accs"
PAR-39,Category,equals,"Cables, Wires - Management",,,,CABLE,"If Category is equals to ""Cables, Wires - Management"" then it is CABLE"
PAR-40,Category,equals,"Development Boards, Kits, Programmers",,,,DEV B,"If Category is equals to ""Development Boards, Kits, Programmers"" then it is DEV B"
PAR-41,Product Description,include,Spacer,,,,Accs,"If Product Description include keyword ""Spacer"" then it is Accs"
PAR-42,Sub-Category,equals,Board Supports,,,,MEC,"If Sub-Category is equals to ""Board Supports"" then it is MEC"
PAR-43,Product Description,include,Clip,,,,Accs,"If Product Description include keyword ""Clip"" then it is Accs"
PAR-44,Product Description,include,Clamp,,,,Accs,"If Product Description include keyword ""Clamp"" then it is Accs"
PAR-45,Product Description,include,Relay,Product Description,include,Surface Mount,IP,"If Product Description include keyword ""Relay"" and Product Description include ""Surface Mount"" then it is IP"
PAR-46,Mounting Type,equals,"Panel, PCB Through Hole",,,,TH,"If Mounting Type is equals to ""Panel, PCB Through Hole"" then it is TH"
PAR-47,Mounting Type,equals,Panel Mount,,,,TH,"If Mounting Type is equals to ""Panel Mount"" then it is TH"
