CP,,,402,,,IP,,,TH,,,MANSMT,,,CPEXP,,,CP 5%,,,,,,
,,,,,,,,,,,,,,,,,,IP 2%,,,,,,
# NUMBER OF PARTS,EXTRAS,,# NUMBER OF PARTS,EXTRAS,,# NUMBER OF PARTS,EXTRAS,,# NUMBER OF PARTS,EXTRAS,,# NUMBER OF PARTS,EXTRAS,,# NUMBER OF PARTS,EXTRAS,,CPEXP 3%,,,,,,
1,20,,1,50,,1,1,,1,1,,1,1,,1,2,,0402 5%,,,,,,
60,30,,60,60,,10,1,,10,1,,10,1,,10,3,,MANSMT 3%,,,,,,
100,35,,100,70,,20,2,,20,2,,20,2,,25,5,,TH 2%,,,,,,
200,40,,200,80,,50,5,,50,5,,50,5,,50,6,,,,,,,,
300,50,,300,100,,100,10,,100,5,,100,10,,100,10,,,,,,,,
500,60,,500,120,,250,20,,250,20,,250,20,,150,12,,,,,,,,
800,80,,800,160,,500,25,,500,25,,500,25,,200,15,,,,,,,,
1000,100,,1000,200,,1000,30,,1000,30,,1000,30,,250,20,,,,,,,,
2000,200,,2000,400,,2000,35,,2000,35,,2000,35,,300,25,,,,,,,,
3000,300,,3000,600,,3000,40,,3000,40,,3000,40,,350,30,,,,,,,,
4000,400,,4000,800,,4000,45,,4000,45,,4000,45,,400,35,,,,,,,,
5000,500,,5000,1000,,5000,50,,5000,50,,5000,50,,450,40,,,,,,,,
6000,600,,6000,1200,,6000,55,,6000,55,,6000,55,,500,45,,,,,,,,
7000,700,,7000,1400,,7000,60,,7000,60,,7000,60,,550,50,,,smt,th,,,,
8000,800,,8000,1600,,8000,65,,8000,65,,8000,65,,600,55,,,0201,th,,,,
9000,900,,9000,1800,,9000,70,,9000,70,,9000,70,,650,60,,,0402,,,,,
10000,1000,,10000,2000,,10000,75,,10000,75,,10000,75,,700,65,,,cp,,,,,
11000,1100,,11000,2200,,11000,80,,11000,80,,11000,80,,750,70,,,cpexp,,,,,
12000,1200,,12000,2400,,12000,85,,12000,85,,12000,85,,800,75,,,ip,,,,,
13000,1300,,13000,2600,,13000,90,,13000,90,,13000,90,,850,80,,,mansmt,,,,,
14000,1400,,14000,2800,,14000,95,,14000,95,,14000,95,,900,85,,,,,,,,
15000,1500,,15000,3000,,15000,100,,15000,100,,15000,100,,950,90,,,,,,,,
16000,1600,,16000,3200,,16000,105,,16000,105,,16000,105,,1000,95,,,,,,,,
17000,1700,,17000,3400,,17000,110,,17000,110,,17000,110,,1050,100,,,,,,,,
18000,1800,,18000,3600,,18000,115,,18000,115,,18000,115,,1100,105,,,,,,,,
19000,1900,,19000,3800,,19000,120,,19000,120,,19000,120,,1150,110,,,,,,,,
20000,2000,,20000,4000,,20000,125,,20000,125,,20000,125,,1200,115,,,,,From,To,%,Ext
21000,2100,,21000,4200,,21000,130,,21000,130,,21000,130,,1250,120,,,,cp,1,100,10%,10
22000,2200,,22000,4400,,22000,135,,22000,135,,22000,135,,1300,125,,,,,101,1000,7%,10
23000,2300,,23000,4600,,23000,140,,23000,140,,23000,140,,1350,130,,,,,1001,10000,5%,10
24000,2400,,24000,4800,,24000,145,,24000,145,,24000,145,,1400,135,,,,,,,,
25000,2500,,25000,5000,,25000,150,,25000,150,,25000,150,,1450,140,,,,,,,,
26000,2600,,26000,5200,,26000,155,,26000,155,,26000,155,,1500,145,,,,,,,,
27000,2700,,27000,5400,,27000,160,,27000,160,,27000,160,,1550,150,,,,,,,,
28000,2800,,28000,5600,,28000,165,,28000,165,,28000,165,,1600,155,,,,,,,80,18
29000,2900,,29000,5800,,29000,170,,29000,170,,29000,170,,1650,160,,,,,,,,
30000,3000,,30000,6000,,30000,175,,30000,175,,30000,175,,1700,165,,,,,,,,
31000,3100,,31000,6200,,31000,180,,31000,180,,31000,180,,1750,170,,,,,,,,
32000,3200,,32000,6400,,32000,185,,32000,185,,32000,185,,1800,175,,,,,,,,
33000,3300,,33000,6600,,33000,190,,33000,190,,33000,190,,1850,180,,,,,,,,
34000,3400,,34000,6800,,34000,195,,34000,195,,34000,195,,1900,185,,,,,,,,
35000,3500,,35000,7000,,35000,200,,35000,200,,35000,200,,1950,190,,,,,,,,
36000,3600,,36000,7200,,36000,205,,36000,205,,36000,205,,2000,195,,,,,,,,
37000,3700,,37000,7400,,37000,210,,37000,210,,37000,210,,2050,200,,,,,,,,
38000,3800,,38000,7600,,38000,215,,38000,215,,38000,215,,2100,205,,,,,,,,
39000,3900,,39000,7800,,39000,220,,39000,220,,39000,220,,2150,210,,,,,,,,
40000,4000,,40000,8000,,40000,225,,40000,225,,40000,225,,2200,215,,,,,,,,
41000,4100,,41000,8200,,41000,230,,41000,230,,41000,230,,2250,220,,,,,,,,
42000,4200,,42000,8400,,42000,235,,42000,235,,42000,235,,2300,225,,,,,,,,
43000,4300,,43000,8600,,43000,240,,43000,240,,43000,240,,2350,230,,,,,,,,
44000,4400,,44000,8800,,44000,245,,44000,245,,44000,245,,2400,235,,,,,,,,
45000,4500,,45000,9000,,45000,250,,45000,250,,45000,250,,2450,240,,,,,,,,
