bom_lines,additional_cost,standard_price,double_side_price
1,50,300,400
40,50,350,450
50,50,400,500
60,50,450,550
70,75,525,625
80,75,600,700
90,75,675,775
100,75,750,850
110,75,825,925
120,75,900,1000
130,75,975,1075
140,75,1050,1150
150,75,1125,1225
160,75,1200,1300
170,75,1275,1375
180,75,1350,1450
190,75,1425,1525
200,75,1500,1600
210,75,1575,1675
220,75,1650,1750
230,75,1725,1825
240,75,1800,1900
250,75,1875,1975
260,75,1950,2050
270,75,2025,2125
280,75,2100,2200
290,75,2175,2275
300,75,2250,2350
